Time, Tag, Workers, Files, Compilation Duration (ms), GC Duration (ms)
2020/11/14 09:39:10,        scala_fp_book/main,   1,     1,       504,        19
2020/11/14 09:39:20,        scala_fp_book/main,   1,     1,       372,         0
2020/11/14 09:39:31,        scala_fp_book/main,   1,     1,       356,         0
2020/11/14 09:39:40,        scala_fp_book/main,   1,     1,       254,         0
2020/11/14 09:39:55,        scala_fp_book/main,   1,     1,       268,         8
2020/11/14 09:41:23,        scala_fp_book/main,   1,     1,       238,         0
2020/11/14 09:43:32,        scala_fp_book/main,   1,     1,       208,         0
2020/11/14 09:44:08,        scala_fp_book/main,   1,     1,       189,         4
2020/11/14 09:44:25,        scala_fp_book/main,   1,     1,       219,         0
2020/11/14 09:44:37,        scala_fp_book/main,   1,     1,       197,         0
2020/11/14 09:45:16,        scala_fp_book/main,   1,     1,       204,         4
2020/11/14 09:45:20,        scala_fp_book/main,   1,     1,       195,         0
2020/11/14 09:45:40,        scala_fp_book/main,   1,     1,       169,         0
2020/11/14 09:46:29,        scala_fp_book/main,   1,     1,       197,         9
2020/11/14 09:46:37,        scala_fp_book/main,   1,     1,       169,         0
2020/11/14 09:54:15,        scala_fp_book/main,   1,     1,       390,         0
2020/11/14 09:54:45,        scala_fp_book/main,   1,     1,       269,        23
2020/11/14 10:12:25,        scala_fp_book/main,   2,     2,       346,         0
2020/11/14 10:13:31,        scala_fp_book/main,   1,     1,       295,         0
2020/11/14 10:14:12,        scala_fp_book/main,   1,     1,       231,        17
2020/11/14 10:22:54,        scala_fp_book/main,   1,     1,       183,         0
2020/11/14 10:23:38,        scala_fp_book/main,   1,     1,       186,         0
2020/11/14 10:23:55,        scala_fp_book/main,   1,     1,       175,         0
2020/11/14 10:39:36,        scala_fp_book/main,   1,     1,       319,         0
2020/11/14 10:39:55,        scala_fp_book/main,   1,     1,       208,         0
2020/11/14 10:40:33,        scala_fp_book/main,   1,     1,       208,         0
2020/11/14 10:42:15,        scala_fp_book/main,   1,     1,       214,         0
2020/11/14 10:44:51,        scala_fp_book/main,   1,     1,       161,         0
2020/11/14 10:45:00,        scala_fp_book/main,   1,     1,       152,         0
2020/11/14 10:45:52,        scala_fp_book/main,   1,     1,       156,         0
2020/11/14 10:47:30,        scala_fp_book/main,   1,     1,       151,         0
2020/11/14 10:47:55,        scala_fp_book/main,   1,     1,       142,         0
2020/11/14 10:48:25,        scala_fp_book/main,   1,     1,       143,         0
2020/11/14 18:19:27,        scala_fp_book/main,   3,     3,      1514,        19
2020/11/14 18:19:50,        scala_fp_book/main,   1,     1,       312,         0
